@relation 2clusters
@attribute  x  real
@attribute  y  real

@data

101 ,29
146 ,32
119 ,71
129 ,118
193 ,90
161 ,80
224 ,54
199 ,108
222 ,173
203 ,250
169 ,194
131 ,225
119 ,171
264 ,152
234 ,128
309 ,82
269 ,75
351 ,176
378 ,304
312 ,273
685 ,327
690 ,406
649 ,400
710 ,354
818 ,324
756 ,247
762 ,385
832 ,366
802 ,452
915 ,472
823 ,529
918 ,414
975 ,340
961 ,277
920 ,309
885 ,407
790 ,487
858 ,529
983 ,546
929 ,493
869 ,447
972 ,355
1042 ,293
994 ,306
941 ,287
920 ,384
865 ,515
813 ,531
776 ,491
756 ,455
